congress,publishdate,title,section,browseline1,firstpage,textfile
115,"October 29, 2018","Representative Raul M. Grijalva, Biography",REPRESENTATIVE,Raul M. Grijalva ,Arizona (AZ),CDIR-2018-10-29/html/CDIR-2018-10-29-AZ-H-3.htm
115,"October 29, 2018","Representative Debbie Lesko, Biography",REPRESENTATIVE,Debbie Lesko ,Arizona (AZ),CDIR-2018-10-29/html/CDIR-2018-10-29-AZ-H-8.htm
115,"October 29, 2018","Representative Martha Mcsally, Biography",REPRESENTATIVE,Martha McSally ,Arizona (AZ),CDIR-2018-10-29/html/CDIR-2018-10-29-AZ-H-2.htm
115,"October 29, 2018","Representative Tom O'Halleran, Biography",REPRESENTATIVE,Tom O'Halleran ,Arizona (AZ),CDIR-2018-10-29/html/CDIR-2018-10-29-AZ-H-1.htm
115,"October 29, 2018","Representative David Schweikert, Biography",REPRESENTATIVE,David Schweikert ,Arizona (AZ),CDIR-2018-10-29/html/CDIR-2018-10-29-AZ-H-6.htm
115,"October 29, 2018","Representative Kyrsten Sinema, Biography",REPRESENTATIVE,Kyrsten Sinema ,Arizona (AZ),CDIR-2018-10-29/html/CDIR-2018-10-29-AZ-H-9.htm
115,"October 29, 2018",Arkansas State Delegation,STATEDELEGATION,Arkansas (AR) Congressional Delegation ,Arkansas (AR),CDIR-2018-10-29/html/CDIR-2018-10-29-AR.htm
115,"October 29, 2018","Senator John Boozman, Biography",SENATOR,John Boozman ,Arkansas (AR),CDIR-2018-10-29/html/CDIR-2018-10-29-AR-S-1.htm
115,"October 29, 2018","Senator Tom Cotton, Biography",SENATOR,Tom Cotton ,Arkansas (AR),CDIR-2018-10-29/html/CDIR-2018-10-29-AR-S-2.htm
115,"October 29, 2018","Representative Eric A. ""Rick"" Crawford, Biography",REPRESENTATIVE,"Eric A. ""Rick"" Crawford ",Arkansas (AR),CDIR-2018-10-29/html/CDIR-2018-10-29-AR-H-1.htm
115,"October 29, 2018","Representative J. French Hill, Biography",REPRESENTATIVE,J. French Hill ,Arkansas (AR),CDIR-2018-10-29/html/CDIR-2018-10-29-AR-H-2.htm
115,"October 29, 2018","Representative Bruce Westerman, Biography",REPRESENTATIVE,Bruce Westerman ,Arkansas (AR),CDIR-2018-10-29/html/CDIR-2018-10-29-AR-H-4.htm
115,"October 29, 2018","Representative Steve Womack, Biography",REPRESENTATIVE,Steve Womack ,Arkansas (AR),CDIR-2018-10-29/html/CDIR-2018-10-29-AR-H-3.htm
115,"October 29, 2018",California State Delegation,STATEDELEGATION,California (CA) Congressional Delegation ,California (CA),CDIR-2018-10-29/html/CDIR-2018-10-29-CA.htm
115,"October 29, 2018","Senator Dianne Feinstein, Biography",SENATOR,Dianne Feinstein ,California (CA),CDIR-2018-10-29/html/CDIR-2018-10-29-CA-S-1.htm
115,"October 29, 2018","Senator Kamala D. Harris, Biography",SENATOR,Kamala D. Harris ,California (CA),CDIR-2018-10-29/html/CDIR-2018-10-29-CA-S-2.htm
115,"October 29, 2018","Representative Pete Aguilar, Biography",REPRESENTATIVE,Pete Aguilar ,California (CA),CDIR-2018-10-29/html/CDIR-2018-10-29-CA-H-31.htm
115,"October 29, 2018","Representative Nanette Diaz Barragan, Biography",REPRESENTATIVE,Nanette Diaz Barragan ,California (CA),CDIR-2018-10-29/html/CDIR-2018-10-29-CA-H-44.htm
